branch_thickness	2
clade_marker_edge_width	1
clade_marker_size	15
Proteobacteria.Gammaproteobacteria	annotation_background_color	#008000
Firmicutes	annotation_background_color	#000080
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae	clade_marker_color	#000080
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium	clade_marker_color	#9400d3
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.unclassified	clade_marker_color	#20b2aa
Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia	clade_marker_color	#000080
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillibacter	clade_marker_color	#000080
Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes	clade_marker_color	#20b2aa
Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae	clade_marker_color	#20b2aa
Proteobacteria.Gammaproteobacteria.Enterobacteriales	clade_marker_color	#008000
Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae	clade_marker_color	#008000
Fusobacteria.Fusobacteria.Fusobacteriales.Fusobacteriaceae	clade_marker_color	#d2691e
Fusobacteria.Fusobacteria.Fusobacteriales	clade_marker_color	#d2691e
Fusobacteria.Fusobacteria	clade_marker_color	#d2691e
Fusobacteria	clade_marker_color	#d2691e
Fusobacteria.Fusobacteria.Fusobacteriales.Fusobacteriaceae.Fusobacterium	clade_marker_color	#d2691e
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus	clade_marker_color	#000080
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum	clade_marker_color	#000080
Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae	clade_marker_color	r
Actinobacteria.Actinobacteria.Coriobacteriales	clade_marker_color	r
Firmicutes.Clostridia.Clostridiales	clade_marker_color	#000080
Firmicutes.Clostridia	clade_marker_color	#000080
Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.unclassified	clade_marker_color	#008000
Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces	clade_marker_color	#9400d3
Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae	clade_marker_color	#9400d3
Proteobacteria	clade_marker_color	#008000
Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Collinsella	clade_marker_color	r
Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.Cronobacter	clade_marker_color	#9400d3
Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.unclassified	clade_marker_color	r
Proteobacteria.Gammaproteobacteria	clade_marker_color	#008000
Firmicutes	clade_marker_color	#000080
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae	clade_marker_size	100
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium	clade_marker_size	100
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.unclassified	clade_marker_size	100
Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia	clade_marker_size	100
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillibacter	clade_marker_size	100
Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes	clade_marker_size	100
Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae	clade_marker_size	100
Proteobacteria.Gammaproteobacteria.Enterobacteriales	clade_marker_size	100
Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae	clade_marker_size	100
Fusobacteria.Fusobacteria.Fusobacteriales.Fusobacteriaceae	clade_marker_size	100
Fusobacteria.Fusobacteria.Fusobacteriales	clade_marker_size	100
Fusobacteria.Fusobacteria	clade_marker_size	100
Fusobacteria	clade_marker_size	100
Fusobacteria.Fusobacteria.Fusobacteriales.Fusobacteriaceae.Fusobacterium	clade_marker_size	100
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus	clade_marker_size	100
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum	clade_marker_size	100
Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae	clade_marker_size	100
Actinobacteria.Actinobacteria.Coriobacteriales	clade_marker_size	100
Firmicutes.Clostridia.Clostridiales	clade_marker_size	100
Firmicutes.Clostridia	clade_marker_size	100
Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.unclassified	clade_marker_size	100
Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces	clade_marker_size	100
Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae	clade_marker_size	100
Proteobacteria	clade_marker_size	100
Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Collinsella	clade_marker_size	100
Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.Cronobacter	clade_marker_size	100
Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.unclassified	clade_marker_size	100
Proteobacteria.Gammaproteobacteria	clade_marker_size	100
Firmicutes	clade_marker_size	100
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae	annotation	*
Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae	annotation	*
Proteobacteria.Gammaproteobacteria.Enterobacteriales	annotation	*
Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae	annotation	*
Fusobacteria.Fusobacteria.Fusobacteriales.Fusobacteriaceae	annotation	*:*
Fusobacteria.Fusobacteria.Fusobacteriales	annotation	*:*
Fusobacteria.Fusobacteria	annotation	*
Fusobacteria	annotation	*
Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae	annotation	*:*
Actinobacteria.Actinobacteria.Coriobacteriales	annotation	*
Firmicutes.Clostridia.Clostridiales	annotation	*
Firmicutes.Clostridia	annotation	*
Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae	annotation	*:*
Proteobacteria	annotation	*
Proteobacteria.Gammaproteobacteria	annotation	*
Firmicutes	annotation	*
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae	annotation_font_size	11
Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae	annotation_font_size	11
Proteobacteria.Gammaproteobacteria.Enterobacteriales	annotation_font_size	11
Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae	annotation_font_size	11
Fusobacteria.Fusobacteria.Fusobacteriales.Fusobacteriaceae	annotation_font_size	11
Fusobacteria.Fusobacteria.Fusobacteriales	annotation_font_size	11
Fusobacteria.Fusobacteria	annotation_font_size	11
Fusobacteria	annotation_font_size	11
Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae	annotation_font_size	11
Actinobacteria.Actinobacteria.Coriobacteriales	annotation_font_size	11
Firmicutes.Clostridia.Clostridiales	annotation_font_size	11
Firmicutes.Clostridia	annotation_font_size	11
Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae	annotation_font_size	11
Proteobacteria	annotation_font_size	11
Proteobacteria.Gammaproteobacteria	annotation_font_size	11
Firmicutes	annotation_font_size	11
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium	annotation	*:*
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.unclassified	annotation	*:Ruminicoccaceae uncl.
Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia	annotation	*
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillibacter	annotation	*:*
Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes	annotation	*
Fusobacteria.Fusobacteria.Fusobacteriales.Fusobacteriaceae.Fusobacterium	annotation	*:*
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus	annotation	*:*
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum	annotation	*:*
Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.unclassified	annotation	*:Enterobacteriaceae uncl.
Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces	annotation	*:*
Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Collinsella	annotation	*:*
Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.Cronobacter	annotation	*:*
Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.unclassified	annotation	Erysipelotrichaceae uncl.
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium	annotation_font_size	11
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.unclassified	annotation_font_size	11
Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia	annotation_font_size	11
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillibacter	annotation_font_size	11
Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes	annotation_font_size	11
Fusobacteria.Fusobacteria.Fusobacteriales.Fusobacteriaceae.Fusobacterium	annotation_font_size	11
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus	annotation_font_size	11
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum	annotation_font_size	11
Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.unclassified	annotation_font_size	11
Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces	annotation_font_size	11
Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Collinsella	annotation_font_size	11
Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.Cronobacter	annotation_font_size	11
Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.unclassified	annotation_font_size	11
clade_separation	.75
